  -0.13967,  -0.00637,  -0.10867,  -0.00947,   0.03083,   0.08354,   0.05254,  -0.08077,   0.02773,  -0.17067,  -0.01877,  -0.01567,   0.27885,   0.06804,  -0.04047,  -0.02497
   0.09904,   0.06184,   0.07424,   0.09904,  -0.01257,  -0.06527,   0.15484,   0.13934,   0.15794,  -0.06527,   0.21684,   0.09594,   0.04013,   0.09904,   0.00293,   0.06804
  -0.13347,   0.01533,   0.03083,  -0.06837,   0.13624,   0.03393,  -0.11487,   0.15484,  -0.08697,   0.08974,   0.06804,  -0.02807,   0.19514,   0.12384,  -0.03737,   0.17654
   0.10214,  -0.00637,   0.08664,  -0.15827,   0.15484,  -0.05287,   0.20444,  -0.24818,   0.03393,   0.30055,   0.07114,   0.07734,   0.26645,   0.06804,   0.04013,  -0.00017
   0.06804,   0.04323,  -0.16447,   0.00913,   0.05564,   0.16104,  -0.04977,  -0.10247,  -0.04977,   0.19824,   0.16104,  -0.01257,  -0.02187,   0.04634,  -0.07767,  -0.08077
  -0.05907,  -0.03117,  -0.05287,   0.13934,   0.16414,   0.03393,  -0.16447,   0.12074,  -0.14587,   0.28505,   0.08664,   0.14554,  -0.01257,   0.12074,   0.04323,   0.25714
   0.08354,  -0.03117,   0.03393,   0.26955,   0.12074,  -0.08697,  -0.24198,   0.02153,   0.03703,   0.33155,   0.07114,  -0.03117,   0.10524,   0.09904,  -0.04977,  -0.10247
   0.00913,  -0.20478,  -0.06837,   0.05874,  -0.07457,  -0.14277,  -0.24198,   0.11454,   0.01223,   0.30985,   0.14244,  -0.10867,  -0.07767,   0.02153,   0.01533,   0.17344
  -0.03117,  -0.05907,   0.01223,   0.23234,   0.01223,   0.07734,  -0.08077,   0.04323,  -0.21718,   0.01843,   0.10834,   0.00603,  -0.19858,  -0.13347,  -0.02807,  -0.11797
  -0.02497,   0.01223,  -0.12107,   0.17654,  -0.00947,  -0.00327,   0.11454,  -0.06837,   0.03703,  -0.08387,  -0.28228,   0.01533,  -0.09627,  -0.11487,  -0.17998,   0.05254
  -0.08697,   0.08354,  -0.04667,   0.24474,  -0.03737,  -0.13657,  -0.01877,   0.04944,   0.03393,  -0.21098,   0.04944,  -0.05597,  -0.06837,   0.04944,  -0.04357,  -0.00017
   0.19204,   0.05564,   0.16104,  -0.20168,  -0.00637,   0.09904,  -0.07147,  -0.09007,  -0.04667,  -0.02497,   0.04944,   0.11144,   0.11764,  -0.20788,   0.06804,  -0.13037
   0.10524,   0.10214,  -0.06217,  -0.16137,  -0.11177,  -0.05907,   0.09284,   0.02153,  -0.01877,  -0.11487,  -0.28228,  -0.01257,   0.08354,  -0.05907,   0.21374,  -0.03737
  -0.07767,  -0.02497,  -0.24508,  -0.38148,   0.13314,  -0.00017,  -0.08697,   0.01843,   0.16104,   0.12694,   0.15794,  -0.02497,   0.04013,   0.12694,   0.22614,  -0.11487
   0.17344,   0.09904,   0.10834,  -0.26988,   0.03083,   0.02153,   0.15484,   0.01843,   0.13624,  -0.18618,  -0.13037,   0.00293,   0.16414,  -0.29778,   0.21994,  -0.12107
   0.02153,   0.15484,   0.21684,  -0.15827,   0.04013,   0.09594,   0.02773,   0.00913,   0.19824,  -0.06527,  -0.13657,  -0.01567,  -0.12727,   0.04944,  -0.01877,   0.11764
   0.06804,   0.05564,   0.04944,  -0.06837,   0.12694,   0.03703,   0.03703,   0.08044,   0.14554,  -0.03117,   0.00603,  -0.02497,  -0.10557,   0.13314,   0.11144,  -0.07147
   0.08044,  -0.08077,   0.19514,   0.05254,  -0.04667,   0.01223,  -0.13347,  -0.05597,  -0.09937,   0.02153,   0.22924,   0.04944,  -0.19238,   0.17034,  -0.25748,  -0.01567
  -0.03117,   0.05874,   0.09904,   0.17344,  -0.14897,  -0.16447,  -0.00637,  -0.02187,  -0.14277,  -0.03737,   0.09904,   0.16414,   0.06804,  -0.26368,  -0.19858,   0.01843
   0.12694,   0.00293,  -0.06837,   0.31605,   0.13314,   0.00293,   0.19204,  -0.28228,  -0.15207,  -0.04977,  -0.35358,   0.21684,   0.17654,  -0.28228,  -0.38458,   0.00293
